listing_id,id,date,reviewer_id,reviewer_name,comments,numerical_review,summary
861490005134416758,881694888562963101,2023-05-01,356300852,Matteo,"We spent a lovely time in Charles' BnB, always welcoming and refreshing after long days visiting London. The room completely met our needs and is truly delicious, well-finished and furnished. Charles (and his wife too) is a great host, very friendly and caring about your stay at his place and your experience in London. His wife gave us a lot of very helpful suggestions. They were both very prompt in meeting our needs and we really appreciated the fact that they allowed us to store our luggage in their home well beyond the check-out time, to help us enjoying our last day. Highly recommended!",5,"Guests had a lovely stay at Charles' BnB, praising the host's welcoming nature and well-finished room."
858136595662134324,1062199492798792335,2024-01-05,530818416,Christian,"very good location and excellent transportations links<br/>easy access and check in and check out anytime<br/>very fast internet really good desk and chair and very comfy bed<br/>amazing and very clean property, very clean kitchen and bathroom too<br/>super clam and peaceful, and everyone we met was polite and friendly<br/>very good price for this location, and facities<br/>very safe and secure, thank you",5,"Guest praised the property's excellent location, cleanliness, and amenities, as well as the friendly hosts."
20987440,208410102,2017-11-01,63384011,Graeme,"Dan was super helpful and understanding. His apartment is decorated stylishly with fantastic attention to detail, great new shower, on a lovely leafy street in walking distance to Oval station and bus routes, making it a great position to get quickly into London or around other cool towns south of the river. Nice, short walk to shops, take-aways and cafes, too. Recommended!",5,Guest appreciated Dan's helpfulness and the stylishly decorated apartment with great attention to detail.
624549267344124983,711481234323057283,2022-09-08,106767251,Yongrao,"The landlords are very friendly and welcoming, making me feel at home. Everything is clean and tidy. You can cook there, and they set the most basic stuff for you. The surroundings and transportation are also very nice and convenient. In front of the house, there’s a park you can walk. Besides, It's only several mins walk to DLR, bus, train station and near the tube station. You can go to the centre of London in half an hour. There are plenty of shopping markets nearby, and you can buy daily necessities and food there if you need them.",5,"Guest felt at home in the landlords' welcoming property, praising its cleanliness and convenient location."
18726042,196455154,2017-09-23,15979506,MaryJane,"The flat is located in a really trendy neighbourhood in London. It's super close to a bunch of hip bars and restaurants, so if you're into that sort of thing, you'll love it! Even if you aren't, I'd still recommend staying at this flat. There's always something going on in this area, and it's really close to transit, entertainment, shopping, great restaurants, etc. The entry way/kitchen/living room area is a bit louder and you can certainly hear noise from your neighbours/down the street. The bedroom itself is extremely quiet so it won't be a problem for those who aren't used to being in a central location. My sister and I ended up sharing a bed instead of making use of the sofa, so I'm not sure how it would be to stay out there. The bed was SO comfortable and, for us, the entire situation was great. The place was perfect and we were sad to leave. The only things we would've liked was to have a full length mirror in the entry way, and more counter space for toiletries/make up/skin care etc. My sister ended up getting all of it so I had to use the kitchen table for the my products. It was okay, but it wasn't ideal. Overall, we had a fantastic time and would recommend it to anyone who was considering this area in London. A solid 4.5*.",5,"Guest enjoyed the trendy neighborhood, comfortable bed, and central location of the flat, with some minor suggestions for improvement."
53354734,1212963440691704933,2024-07-31,448501576,Alexander,"Ich hatte einen sehr guten Aufenthalt bei Roberto. Ich wurde sofort Nett begrüßt und es wurde sich um mein Gepäck gekümmert. Das Zimmer und das Bad waren sauber und ordentlich. <br/>Die Underground ist auch gut zu fuß zu erreichen, wodurch man die ganze Stadt super erkunden kann. Ich würde wieder bei Roberto Buchen!",1,Had a great stay at Roberto's place with friendly service and easy access to public transportation.
1009193990975634048,1254340357407189283,2024-09-26,42627769,Angela,"Love Stephanie's place! It is a cozy warm apartment, perfect for solo and couples. The location is great, easy access to undergrounds and overgrounds, grocery stores nearby and only 15 - 20 mins to central London. The district is safe and peaceful.<br/>It is clean and with all the necessary amenities. Stephanie is a very friendly host, she provided clear instructions on checking in as well as local recommendations She allowed me to drop off the luggage before check in.<br/>Just a small note that the apartment is on 5th floor with no lift. It is not a problem to me at all and I have a lovely stay in Stephanie's place. Definitely will come back.<br/>Thank you.",5,Loved Stephanie's cozy apartment in a safe and peaceful area with excellent amenities and friendly host.
3189998,78735999,2016-06-08,30222016,Zeina,"MAY RUINED MY STAY IN LONDON! She wouldn't fix the boiler, 6 days of no hot water, refused to refund me and kicked me out of the flat 1 day before my flight cause I escalated the case to the nocarz customer service! <br/>I stayed in the flat for 32 nights. Let me start by saying that the flat is well located, on a quiet street and has a lot of natural light but these are the only positives. The flat & the building are very very old, the carpet was so dirty i was shocked, it is stained and filled with dust, the corners were so filthy, the bathroom & kitchen are old so is the furniture (be careful the flat looks much nicer in the pictures than it actually is in reality). I wish i could post pictures in my review. The beginning of my stay went well with May, she was quite responsive to my texts (although i did try calling her a few times and she never picked up which is annoying) until the day the boiler broke. This happened 1 week before the end of my 1 month stay. She kept saying that the plumber is coming but then he never showed up but i am not sure if she has ever arranged for him to come cause the boiler was never fixed so i basically stayed WITHOUT HOT WATER FOR 6 DAYS! I had to go shower at some friend's place which was really inconvenient, embarrassing and unacceptable given the price i paid for the flat (definitely definitely OVERPRICED by the way!). The story keeps getting better and better, cause May decides to kick me out of the flat 1 day before my flight cause i had asked her for a refund which she refused so I escalated the case to the nocarz customer service (according to the nocarz rules i am totally entitled to 50% refund). The cherry on the cake is when she kicked me out of the flat 1 day before my trip! I had to leave work early to go pack my bags and leave the flat to go to a hotel for the last night. The funny part of the story is that she came with the plumber to fix the boiler the day i left, of course cause she was going to move into the flat again. <br/>nocarz customer service was very very good and understanding of my case. They refunded me 50% of the last 6 days, a full refund for the last night and offered to pay a part of my hotel fee. <br/>So overall i would DEFINITELY NOT RECOMMEND staying at May's flat, for the same price (or even lower) you can find a much better flat AND a much nicer landlady :) ",5,"May's flat was poorly maintained, had no hot water for 6 days, and the host was unresponsive and refused to refund."
13836041,95127755,2016-08-18,22345757,Barbara,"Lovely trendy flat just one block from vibrant Church Street.<br/>Richard was away when I arrived, but always kept in touch even from his holiday abroad and made sure I had everything I needed.<br/>His flatmate Arthur arranged smooth collection of keys and left the room perfectly clean and ready for my arrival.<br/>The bed is so comfortable I had to ask Richard where he got it from and my whole stay here was short but very pleasant.<br/>It was a real pleasure to meet these friendly easy going boys.",5,"Richard's trendy flat was clean, comfortable, and well-equipped with friendly hosts who made sure everything was perfect."
710679275564504288,910036857309288674,2023-06-09,425096433,London,Our stay in Kings Cross was great! The nocarz was very close to the train station and the underground which we used a lot to get around! The nocarz was very clean and we used the kitchen a lot which offered tons of great amenities. Would stay here again in the future!,5,"The nocarz in Kings Cross was very clean, convenient, and had great amenities for a pleasant stay."
